Kernel, Architechture, Vendor, No of CPUs, Cycle(MHz), L1(KB), L2(KB), L3(KB), RAM(GB), Available Threads, Num Iterations, varDecl, refExpr, intLiteral, floatLiteral, add_int, add_float, sub_int, sub_float, mul_int, mul_float, div_int, div_float, rem_int, rem_float, shl_int, shl_float, shr_int, shr_float, assign_int, assign_float, mulAssign_int, mulAssign_float, divAssign_int, divAssign_float, remAssign_int, remAssign_float, addAssign_int, addAssign_float, subAssign_int, subAssign_float, shlAssign_int, shlAssign_float, shrAssign_int, shrAssign_float, postInc_int, postInc_float, postDec_int, postDec_float, preInc_int, preInc_float, preDec_int, preDec_float,Execution Time
kernel_1100_2100_801_5_626_8,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,10116296,10502,2100,0,1684999,0,0,0,0,0,0,0,0,0,0,0,0,2100,1684999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,0,0,0,0,0,0,0,0.897
kernel_1100_2100_801_5_626_9,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,20232590,14702,2100,1684999,1684999,0,0,0,0,0,0,0,0,0,0,0,0,1689199,1684999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201,0,0,0,0,0,0,0,1.693
kernel_1100_2100_801_5_626_10,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,10198214,14702,2100,0,1684999,0,0,12603,0,0,0,0,0,0,0,0,0,16803,1684999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201,0,0,0,0,0,0,0,1.006
kernel_1100_2100_801_5_626_11,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,20314508,18902,2100,1684999,1684999,0,0,12603,0,0,0,0,0,0,0,0,0,1703902,1684999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6301,0,0,0,0,0,0,0,2.103
kernel_1100_2100_801_5_626_12,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,15391892,14702,2100,0,1684999,0,0,0,0,0,0,0,0,0,0,0,0,4200,1684999,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,4201,0,0,0,0,0,0,0,1.452
kernel_1100_2100_801_5_626_13,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,25508186,18902,2100,1684999,1684999,0,0,0,0,0,0,0,0,0,0,0,0,1691299,1684999,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,6301,0,0,0,0,0,0,0,2.239
kernel_1100_2100_801_5_626_14,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,15473810,18902,2100,0,1684999,0,0,12603,0,0,0,0,0,0,0,0,0,18903,1684999,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,6301,0,0,0,0,0,0,0,1.652
kernel_1100_2100_801_5_626_15,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,25590104,23102,2100,1684999,1684999,0,0,12603,0,0,0,0,0,0,0,0,0,1706002,1684999,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,8401,0,0,0,0,0,0,0,3.050
kernel_1100_2100_801_5_626_16,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,81920,10502,2100,0,0,0,0,0,12603,0,0,0,0,0,0,0,0,2100,12603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,0,0,0,0,0,0,0,0.149
kernel_1100_2100_801_5_626_17,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,10198214,14702,2100,1684999,0,0,0,0,12603,0,0,0,0,0,0,0,0,1689199,12603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201,0,0,0,0,0,0,0,0.954
kernel_1100_2100_801_5_626_18,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,163838,14702,2100,0,0,0,0,12603,12603,0,0,0,0,0,0,0,0,16803,12603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201,0,0,0,0,0,0,0,0.159
kernel_1100_2100_801_5_626_19,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,10280132,18902,2100,1684999,0,0,0,12603,12603,0,0,0,0,0,0,0,0,1703902,12603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6301,0,0,0,0,0,0,0,1.585
kernel_1100_2100_801_5_626_20,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,5357516,14702,2100,0,0,0,0,0,12603,0,0,0,0,0,0,0,0,4200,12603,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,4201,0,0,0,0,0,0,0,0.648
kernel_1100_2100_801_5_626_21,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,15473810,18902,2100,1684999,0,0,0,0,12603,0,0,0,0,0,0,0,0,1691299,12603,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,6301,0,0,0,0,0,0,0,1.434
